year,male incidence in higher healthcare countries,female incidence in higher healthcare countries,both sexes incidence in higher healthcare countries,male mortality in higher healthcare countries,female mortality in higher healthcare countries,both sexes mortality in higher healthcare countries,both sexes MIR in higher healthcare countries,male MIR in higher healthcare countries,female MIR in higher healthcare countries,Govt expense of higher healthcare countries,,,male incidence in moderate healthcare countries,female incidence in moderate healthcare countries,both sexes incidence in moderate healthcare countries,male mortality in moderate healthcare countries,female mortality in moderate healthcare countries,both sexes mortality in moderate healthcare countries,both sexes MIR in moderate healthcare countries,male MIR in moderate healthcare countries,female MIR in moderate healthcare countries,Govt expense of moderate healthcare countries
2001,175795,162648,338443,88093,77552,165645,0.489432489,0.501112091,0.476808814,77041,,,124544,105448,229992,53287,77635,130922,0.569245887,0.427856822,0.736239663,26974
2002,180733,165739,346472,88412,77401,165813,0.478575469,0.489185705,0.467005352,88427,,,129534,109624,239158,54729,80634,135363,0.56599821,0.422506832,0.735550609,30831
2003,187424,167492,354916,89007,77930,166937,0.470356366,0.474896491,0.465275953,112551,,,135348,115969,251317,55989,81227,137216,0.545987737,0.413666992,0.70041994,38472
2004,197713,172452,370165,89791,78638,168429,0.455010603,0.454148184,0.455999351,133499,,,141759,121720,263479,56064,82631,138695,0.526398688,0.395488117,0.678861321,44531
2005,199233,174259,373492,89923,79135,169058,0.452641556,0.451345912,0.454122886,143808,,,148951,128456,277407,56867,82043,138910,0.500744394,0.381783271,0.63868562,52853
2006,203979,178015,381994,90797,79324,170121,0.445349927,0.445129155,0.445602899,153507,,,153670,133433,287103,56882,83089,139971,0.487528866,0.37015683,0.62270203,61613
2007,209229,181968,391197,91229,79608,170837,0.436703247,0.436024643,0.437483514,182137,,,161507,143060,304567,56992,83610,140602,0.461645549,0.352876346,0.584440095,72979
2008,215348,188371,403719,92944,81493,174437,0.43207528,0.431599086,0.432619671,203211,,,169498,153135,322633,58019,84472,142491,0.44165042,0.342299024,0.551617854,78469
2009,223263,192241,415504,93357,80647,174004,0.418778159,0.418148103,0.419509886,198269,,,177871,160954,338825,58684,85281,143965,0.424894857,0.329924496,0.529847037,77138
2010,223871,196115,419986,96619,83064,179683,0.427830928,0.431583367,0.423547408,214710,,,184224,169374,353598,60693,87720,148413,0.419722397,0.329452189,0.517907117,84241
2011,229582,200564,430146,97226,83970,181196,0.42124302,0.423491389,0.418669352,255257,,,190485,177592,368077,60857,87033,147890,0.40179093,0.319484474,0.490072751,90474
2012,230852,204325,435177,98101,84986,183087,0.420718466,0.424951917,0.415935397,253619,,,191753,180671,372424,61579,88707,150286,0.403534681,0.321137088,0.490986379,88544
2013,236388,210021,446409,98366,84705,183071,0.410097019,0.416120954,0.403316811,256617,,,194985,183125,378110,62648,89389,152037,0.402097273,0.32129651,0.488131058,93116
2014,242119,216871,458990,98881,85755,184636,0.402265845,0.40839835,0.395419397,269032,,,195273,176244,371517,63403,90586,153989,0.414487089,0.324689025,0.513980618,99348
2015,247945,219309,467254,101535,86838,188373,0.403149037,0.40950614,0.395961862,234320,,,196342,173771,370113,63981,90536,154517,0.417486011,0.325865072,0.521007533,95403
sum,,,6033864,,,2625327,0.435098802,,,2776005,,,,,4728320,,,2155267,0.455820884,,,1034986
